Continent,Year,Total_Continent_Pop,Weighted_CAGR,N_Countries_With_Pop
Africa,1991,561734.9789999999,-1.3464785437734084,43
Africa,1992,576822.942,-1.7812913275687015,43
Africa,1993,591565.7470000002,-1.5836227582685467,43
Africa,1994,605171.552,-1.4438766692667728,43
Africa,1995,619384.863,-0.9009544266286597,43
Africa,1996,635460.9710000001,-0.18331314251397185,43
Africa,1997,651645.9360000001,0.07934146366988512,43
Africa,1998,667658.6589999999,0.1955895734086522,43
Africa,1999,683910.5680000002,0.28832336139093945,43
Africa,2000,705799.531,0.41033815935459655,44
Africa,2001,726042.4469999998,0.5928778784433929,45
Africa,2002,744126.7849999999,0.7816216726050389,46
Africa,2003,762614.2129999999,0.8267105738361553,46
Africa,2004,781680.3269999998,1.0687758817309756,46
Africa,2005,801314.899,1.2420927003111257,46
Africa,2006,821475.4209999997,1.403841059738882,46
Africa,2007,842271.6769999999,1.5407075824455942,46
Africa,2008,863866.1640000001,1.6275892552848779,46
Africa,2009,886177.611,1.634225150710202,46
Africa,2010,908956.7760000002,1.7515162418964374,46
Africa,2011,932127.3840000001,1.7651904538916778,46
Africa,2012,955944.9900000002,1.815840252965173,46
Africa,2013,980540.0950000001,1.825159341600918,46
Africa,2014,1019995.727,1.8958818480857014,48
Africa,2015,1045931.1089999999,1.918017956718902,48
Africa,2016,1071847.0700000003,1.8456937449425714,48
Africa,2017,1098380.6589999998,1.800512957224608,48
Africa,2018,1125499.5659999999,1.778513719229953,48
Africa,2019,1152374.812,1.7524100975449326,48
Africa,2020,1179287.2719999999,1.5718616227499114,48
Africa,2021,1206233.491,1.5782864033664048,48
Asia,1991,2956591.416,3.069270490761246,30
Asia,1992,3005951.180999999,4.8071028639037126,30
Asia,1993,3056146.507,5.2965672443621346,31
Asia,1994,3112704.008,5.481967877954325,32
Asia,1995,3160226.392,5.681307755508043,32
Asia,1996,3213719.781999999,5.746693636011346,34
Asia,1997,3261067.735000001,5.527693412300025,34
Asia,1998,3307772.2500000005,5.1916146695740775,34
Asia,1999,3353988.8589999997,5.177714640225265,34
Asia,2000,3400709.593,5.1130963554558955,34
Asia,2001,3447957.528999999,5.032931213333552,35
Asia,2002,3492450.021,4.963226862068918,35
Asia,2003,3558324.7499999995,5.018395820126724,36
Asia,2004,3602267.534000001,5.143132087341193,36
Asia,2005,3646057.7390000005,5.286702538082118,36
Asia,2006,3689504.6259999997,5.431965147428254,36
Asia,2007,3732382.215999999,5.599944793112961,36
Asia,2008,3775757.1879999996,5.53647520498069,36
Asia,2009,3820510.292,5.535557056718873,36
Asia,2010,3865650.607000001,5.608487799014986,36
Asia,2011,3910544.196000001,5.582095738598139,36
Asia,2012,3956085.869,5.553353745804526,36
Asia,2013,4001489.4010000005,5.52909621152279,36
Asia,2014,4045318.7280000006,5.508073307961626,36
Asia,2015,4086537.745,5.493389769134183,36
Asia,2016,4126217.251999999,5.490269297379177,36
Asia,2017,4164872.225,5.4669129802678516,36
Asia,2018,4200654.036,5.44483533426541,36
Asia,2019,4234306.064,5.376748181661301,36
Asia,2020,4258598.125999999,5.076344615212099,35
Asia,2021,4280179.066,5.089421974312154,34
Europe,1991,530089.774,-1.4809603947439889,27
Europe,1992,542468.583,-1.312879677810266,28
Europe,1993,549474.9269999999,-1.406295893938044,29
Europe,1994,550672.4310000002,-1.0331013715012127,29
Europe,1995,555007.586,-0.4017330262666089,30
Europe,1996,577523.415,0.30712074003092243,37
Europe,1997,577872.648,0.6286294243148114,37
Europe,1998,578402.8380000001,0.8550285105420923,39
Europe,1999,578449.74,0.9416846783933951,39
Europe,2000,579079.337,1.2640010646466218,39
Europe,2001,579827.621,1.417069445954038,39
Europe,2002,580979.2050000001,1.467418612148487,39
Europe,2003,582470.9849999999,1.527008171848061,39
Europe,2004,584048.8470000001,1.6903001676463723,39
Europe,2005,585533.9870000001,1.7411036653713536,39
Europe,2006,586787.145,1.8801219253540442,39
Europe,2007,588375.311,1.992339945312934,39
Europe,2008,590208.1100000001,1.9450495099809055,39
Europe,2009,591662.2329999999,1.5485697553497841,39
Europe,2010,592932.2450000001,1.5646026184234416,39
Europe,2011,594153.1880000001,1.5904363675874686,39
Europe,2012,595107.6020000001,1.4913478329869085,39
Europe,2013,595918.7839999999,1.4220166759820434,39
Europe,2014,596897.3370000002,1.4055790067941871,39
Europe,2015,598242.898,1.3929094376500388,39
Europe,2016,599636.6109999999,1.4088766170311144,39
Europe,2017,600722.8740000001,1.4586017916453224,39
Europe,2018,601690.638,1.489659846621956,39
Europe,2019,602607.533,1.5081618801429442,39
Europe,2020,602860.105,1.2398032097345204,39
Europe,2021,602531.433,1.381964219558219,38
North America,1991,133503.18500000003,1.2639286052546188,20
North America,1992,136174.50699999998,1.5579925622464321,20
North America,1993,138838.563,1.211903830979862,20
North America,1994,141488.58099999998,1.26880557464254,20
North America,1995,144138.63,0.20058284351657046,20
North America,1996,146769.454,0.757229332439993,20
North America,1997,149370.569,1.2354575923488391,20
North America,1998,182274.85100000002,1.7206884054256428,21
North America,1999,185101.57900000003,1.812752183207199,21
North America,2000,187916.768,1.9431561265158148,21
North America,2001,190711.12300000002,1.59911612661168,21
North America,2002,193470.63100000002,1.4299693971073102,21
North America,2003,196176.84600000005,1.3253483382916196,21
North America,2004,198853.643,1.3722955676058757,21
North America,2005,201539.768,1.3964495844754428,21
North America,2006,204263.124,1.4981381794786297,21
North America,2007,207094.11300000004,1.5179638089910925,21
North America,2008,210043.90300000002,1.4473309661163245,21
North America,2009,213042.68800000002,1.092022030521716,21
North America,2010,215992.12600000002,1.170781850116723,21
North America,2011,218930.869,1.23188386149095,21
North America,2012,221884.661,1.2573765497569844,21
North America,2013,224788.41000000003,1.2418429547193244,21
North America,2014,227567.301,1.2691290103410062,21
North America,2015,230168.68099999998,1.2903571754944612,21
North America,2016,232721.362,1.2912177211318134,21
North America,2017,235298.659,1.2998364621508238,21
North America,2018,237917.631,1.3017454601123881,21
North America,2019,240506.68199999997,1.2463284819031508,21
North America,2020,242812.151,0.9181018358817963,21
North America,2021,244798.35799999995,1.0523262695698814,21
Oceania,1991,26550.834,-0.9704069888705358,11
Oceania,1992,26966.505,0.2007338506818367,11
Oceania,1993,27358.783,1.7941842637950929,11
Oceania,1994,27762.53,2.1072846606187707,11
Oceania,1995,28200.125,1.9288965484416598,11
Oceania,1996,28657.764000000003,2.066004967830654,11
Oceania,1997,29106.662999999993,1.8325222592519614,11
Oceania,1998,29545.315999999995,1.722532839286141,11
Oceania,1999,29988.834,1.8493829852999883,11
Oceania,2000,30447.763,1.724224888472684,11
Oceania,2001,30951.352000000006,1.5696933674878626,12
Oceania,2002,31461.994000000002,1.5531589630858698,12
Oceania,2003,31983.02,1.531876918308483,12
Oceania,2004,32500.833000000006,1.5807332832093601,12
Oceania,2005,33042.635,1.610167978420213,13
Oceania,2006,33622.361000000004,1.6020962622986203,13
Oceania,2007,34268.375,1.6360016512754805,13
Oceania,2008,34966.57299999998,1.5473203419936057,13
Oceania,2009,35668.11100000001,1.4831835645216318,13
Oceania,2010,36325.102,1.5066856653909741,13
Oceania,2011,36955.854999999996,1.4591366167560522,13
Oceania,2012,37610.85800000001,1.4753694148775498,13
Oceania,2013,38288.757999999994,1.4574437800249835,13
Oceania,2014,38969.027,1.529100750580702,13
Oceania,2015,39663.502,1.529748394937099,13
Oceania,2016,40395.99299999999,1.5337688012632231,13
Oceania,2017,41143.624,1.510224536275594,13
Oceania,2018,41867.463,1.4730720986896497,13
Oceania,2019,42559.472,1.4540411169805212,13
Oceania,2020,43133.651,1.3030930003236425,13
Oceania,2021,43610.116,1.2907045557122616,13
South America,1991,273331.169,0.9799875323302136,10
South America,1992,278051.038,0.5650460317210904,10
South America,1993,282750.458,1.5558086345472537,10
South America,1994,287398.307,2.2863656696219365,10
South America,1995,292033.809,2.2608710063061426,10
South America,1996,296628.47900000005,2.097161978654374,10
South America,1997,301196.38599999994,2.2171403327532593,10
South America,1998,305802.05999999994,1.8810814756082528,10
South America,1999,310356.25100000005,1.4142912520106596,10
South America,2000,314721.919,1.4421797169770958,10
South America,2001,318907.46300000005,1.2559698137882565,10
South America,2002,322942.525,1.1526302734206915,10
South America,2003,326839.09400000004,1.192964838248781,10
South America,2004,330630.11699999997,1.4528834936830215,10
South America,2005,334344.08599999995,1.579287628267115,10
South America,2006,337964.742,1.7332822783408612,10
