Entity,Code,Continent,Baseline_Year
Algeria,DZA,Africa,1990
Angola,AGO,Africa,1990
Benin,BEN,Africa,1990
Botswana,BWA,Africa,1990
Burkina Faso,BFA,Africa,1990
Burundi,BDI,Africa,1990
Cameroon,CMR,Africa,1990
Cape Verde,CPV,Africa,1990
Central African Republic,CAF,Africa,1990
Chad,TCD,Africa,1990
Comoros,COM,Africa,1990
Congo,COG,Africa,1990
Cote d'Ivoire,CIV,Africa,1990
Democratic Republic of Congo,COD,Africa,1990
Djibouti,DJI,Africa,2013
Egypt,EGY,Africa,1990
Equatorial Guinea,GNQ,Africa,1990
Eswatini,SWZ,Africa,1990
Ethiopia,ETH,Africa,1990
Gabon,GAB,Africa,1990
Gambia,GMB,Africa,1990
Ghana,GHA,Africa,1990
Guinea,GIN,Africa,1990
Guinea-Bissau,GNB,Africa,1990
Kenya,KEN,Africa,1990
Lesotho,LSO,Africa,1990
Liberia,LBR,Africa,2000
Libya,LBY,Africa,1999
Madagascar,MDG,Africa,1990
Malawi,MWI,Africa,1990
Mali,MLI,Africa,1990
Mauritania,MRT,Africa,1990
Mauritius,MUS,Africa,1990
Morocco,MAR,Africa,1990
Mozambique,MOZ,Africa,1990
Namibia,NAM,Africa,1990
Niger,NER,Africa,1990
Nigeria,NGA,Africa,1990
Rwanda,RWA,Africa,1990
Sao Tome and Principe,STP,Africa,2001
Senegal,SEN,Africa,1990
Seychelles,SYC,Africa,1990
Sierra Leone,SLE,Africa,1990
Somalia,SOM,Africa,2013
South Africa,ZAF,Africa,1990
Sudan,SDN,Africa,1990
Tanzania,TZA,Africa,1990
Togo,TGO,Africa,1990
Tunisia,TUN,Africa,1990
Uganda,UGA,Africa,1990
Zambia,ZMB,Africa,1990
Zimbabwe,ZWE,Africa,1990
Afghanistan,AFG,Asia,2002
Armenia,ARM,Asia,1990
Azerbaijan,AZE,Asia,1990
Bahrain,BHR,Asia,1990
Bangladesh,BGD,Asia,1990
Bhutan,BTN,Asia,1990
Brunei,BRN,Asia,1990
Cambodia,KHM,Asia,1993
China,CHN,Asia,1990
East Timor,TLS,Asia,2000
Georgia,GEO,Asia,1990
Hong Kong,HKG,Asia,1990
India,IND,Asia,1990
Indonesia,IDN,Asia,1990
Iran,IRN,Asia,1990
Iraq,IRQ,Asia,1990
Israel,ISR,Asia,1995
Japan,JPN,Asia,1990
Jordan,JOR,Asia,1990
Kazakhstan,KAZ,Asia,1990
Kuwait,KWT,Asia,1992
Kyrgyzstan,KGZ,Asia,1990
Laos,LAO,Asia,1990
Lebanon,LBN,Asia,1990
Macao,MAC,Asia,1990
Malaysia,MYS,Asia,1990
Maldives,MDV,Asia,1995
Mongolia,MNG,Asia,1990
Myanmar,MMR,Asia,1990
Nepal,NPL,Asia,1990
Oman,OMN,Asia,1990
Pakistan,PAK,Asia,1990
Palestine,PSE,Asia,1994
Philippines,PHL,Asia,1990
Qatar,QAT,Asia,2000
Saudi Arabia,SAU,Asia,1990
Singapore,SGP,Asia,1990
South Korea,KOR,Asia,1990
Sri Lanka,LKA,Asia,1990
