Entity,Code,Continent,Start_Year,End_Year,Start_GDP,End_GDP,Years_Span,Data_Points,CAGR,Achieved_Target
Afghanistan,AFG,Asia,2010,2019,2026.1638,2079.9219,9,10,0.291380282952991,FALSE
Angola,AGO,Africa,2010,2019,7691.1313,6602.424,9,10,-1.6816009088807982,FALSE
Bangladesh,BGD,Asia,2010,2019,3395.3647,5467.208,9,10,5.435430151744236,FALSE
Benin,BEN,Africa,2010,2019,2634.1348,3156.439,9,10,2.0302199226813977,FALSE
Burkina Faso,BFA,Africa,2010,2019,1661.8721,2110.0623,9,10,2.6885365424084595,FALSE
Burundi,BDI,Africa,2010,2019,804.3549,729.65845,9,10,-1.0770911787759907,FALSE
Cambodia,KHM,Asia,2010,2019,2706.9917,4464.2944,9,10,5.715983826236615,FALSE
Central African Republic,CAF,Africa,2010,2019,1130.8958,861.7668,9,10,-2.974644909367108,FALSE
Chad,TCD,Africa,2010,2019,1741.054,1561.9967,9,10,-1.198600401521599,FALSE
Comoros,COM,Africa,2010,2019,3025.5173,3290.6506,9,10,0.937738481949224,FALSE
Democratic Republic of Congo,COD,Africa,2010,2019,841.85626,1059.8921,9,10,2.5920588581975768,FALSE
Djibouti,DJI,Africa,2013,2019,3664.268,4768.113,6,7,4.486428567711753,FALSE
East Timor,TLS,Asia,2010,2019,2908.328,3737.7964,9,10,2.8272043763452936,FALSE
Ethiopia,ETH,Africa,2010,2019,1236.4794,2181.659,9,10,6.512357748479092,FALSE
Gambia,GMB,Africa,2010,2019,2172.1938,2083.309,9,10,-0.46314780959506585,FALSE
Guinea,GIN,Africa,2010,2019,1856.4902,2545.1401,9,10,3.5677012573490874,FALSE
Guinea-Bissau,GNB,Africa,2010,2019,1697.4956,1890.5331,9,10,1.2039100680096393,FALSE
Haiti,HTI,North America,2010,2019,2932.279,3101.5942,9,10,0.6256859655096036,FALSE
Kiribati,KIR,Oceania,2010,2019,1819.2013,1990.518,9,10,1.0049869428900626,FALSE
Laos,LAO,Asia,2010,2019,4793.224,7840.0713,9,10,5.619373595284238,FALSE
Lesotho,LSO,Africa,2010,2019,2315.2769,2533.1191,9,10,1.0041424312079217,FALSE
Liberia,LBR,Africa,2010,2019,1418.6758,1455.6377,9,10,0.2861885739801062,FALSE
Madagascar,MDG,Africa,2010,2019,1511.9867,1585.4717,9,10,0.5286980811782804,FALSE
Malawi,MWI,Africa,2010,2019,1357.8717,1517.7031,9,10,1.2441146892080202,FALSE
Mali,MLI,Africa,2010,2019,2018.6014,2219.0466,9,10,1.0574715545284885,FALSE
Mauritania,MRT,Africa,2010,2019,4773.7524,5505.6465,9,10,1.5975322479032883,FALSE
Mozambique,MOZ,Africa,2010,2019,1047.5914,1285.1848,9,10,2.297198315684801,FALSE
Myanmar,MMR,Asia,2010,2019,2830.284,4829.5366,9,10,6.117292459651225,FALSE
Nepal,NPL,Asia,2010,2019,2682.6987,3922.0813,9,10,4.31029847779143,FALSE
Niger,NER,Africa,2010,2019,1024.7384,1217.446,9,10,1.9330897328375007,FALSE
Rwanda,RWA,Africa,2010,2019,1467.7363,2191.4016,9,10,4.5542157527981075,FALSE
Senegal,SEN,Africa,2010,2019,2830.1533,3430.484,9,10,2.160456856792514,FALSE
Sierra Leone,SLE,Africa,2010,2019,1401.5741,1655.6852,9,10,1.868565200596306,FALSE
Solomon Islands,SLB,Oceania,2010,2019,2411.071,2616.863,9,10,0.9142116747838047,FALSE
Somalia,SOM,Africa,2013,2019,889.1667,1138.2859,6,7,4.202473413963537,FALSE
Sudan,SDN,Africa,2010,2019,4745.2974,4133.1304,9,10,-1.5229399520908404,FALSE
Tanzania,TZA,Africa,2010,2019,1972.9811,2577.6658,9,10,3.014986364324268,FALSE
Togo,TGO,Africa,2010,2019,1588.3982,2080.5242,9,10,3.0442373990134497,FALSE
Tuvalu,TUV,Oceania,2010,2019,3334.6072,4816.553,9,10,4.170204747495587,FALSE
Uganda,UGA,Africa,2010,2019,1878.5209,2250.015,9,10,2.0252597475743928,FALSE
Zambia,ZMB,Africa,2010,2019,3083.3552,3372.359,9,10,1.0004619871436304,FALSE
