Entity,Code,Continent,Start_Year,End_Year,Start_GDP,End_GDP,Years_Span,CAGR,Achieved_Target
Afghanistan,AFG,Asia,2015,2021,2108.714,1516.3057,6,-5.348351766995252,FALSE
Angola,AGO,Africa,2015,2021,7967.104,5908.57,6,-4.859889873659117,FALSE
Bangladesh,BGD,Asia,2015,2021,4337.3857,5911.013,6,5.294489950967551,FALSE
Benin,BEN,Africa,2015,2021,2849.8206,3321.5522,6,2.585802482497601,FALSE
Burkina Faso,BFA,Africa,2015,2021,1862.8547,2179.789,6,2.6532205603472914,FALSE
Burundi,BDI,Africa,2015,2021,781.5793,705.0304,6,-1.7032559825690186,FALSE
Cambodia,KHM,Asia,2015,2021,3565.245,4354.5654,6,3.3893741324794613,FALSE
Central African Republic,CAF,Africa,2015,2021,795.03705,837.5047,6,0.8710746042608353,FALSE
Chad,TCD,Africa,2015,2021,1853.2594,1425.4945,6,-4.27951530391375,FALSE
Comoros,COM,Africa,2015,2021,3150.8777,3228.5269,6,0.4065728765207055,FALSE
Democratic Republic of Congo,COD,Africa,2015,2021,1032.5719,1073.6433,6,0.6522032727108718,FALSE
Djibouti,DJI,Africa,2015,2021,4073.6226,4913.2563,6,3.172694139438348,FALSE
East Timor,TLS,Asia,2015,2021,3228.675,5032.41,6,7.67757864163614,TRUE
Ethiopia,ETH,Africa,2015,2021,1750.6727,2319.0684,6,4.7976232301081945,FALSE
Gambia,GMB,Africa,2015,2021,1905.823,2076.5664,6,1.4403042524038678,FALSE
Guinea,GIN,Africa,2015,2021,2053.1116,2640.3442,6,4.2816749753394445,FALSE
Guinea-Bissau,GNB,Africa,2015,2021,1748.0292,1831.3832,6,0.77939738533781,FALSE
Haiti,HTI,North America,2015,2021,3141.0469,2870.145,6,-1.491984630260812,FALSE
Kiribati,KIR,Oceania,2015,2021,2038.4865,1937.0894,6,-0.8467461311276736,FALSE
Laos,LAO,Asia,2015,2021,6499.0728,7846.975,6,3.1909976422913378,FALSE
Lesotho,LSO,Africa,2015,2021,2625.637,2295.2322,6,-2.2165571932804995,FALSE
Liberia,LBR,Africa,2015,2021,1581.055,1423.2296,6,-1.7374572421658407,FALSE
Madagascar,MDG,Africa,2015,2021,1508.3744,1463.6288,6,-0.5006373321807089,FALSE
Malawi,MWI,Africa,2015,2021,1440.8423,1491.1339,6,0.5734540572157831,FALSE
Mali,MLI,Africa,2015,2021,2060.0986,2120.6233,6,0.4837698924397893,FALSE
Mauritania,MRT,Africa,2015,2021,5151.9,5307.522,6,0.49722342305569267,FALSE
Mozambique,MOZ,Africa,2015,2021,1271.9619,1226.767,6,-0.6011567448599986,FALSE
Myanmar,MMR,Asia,2015,2021,3748.2942,4032.6257,6,1.226069450933731,FALSE
Nepal,NPL,Asia,2015,2021,3260.035,3831.9485,6,2.7305390189321432,FALSE
Niger,NER,Africa,2015,2021,1124.41,1186.5768,6,0.9009353661597608,FALSE
Rwanda,RWA,Africa,2015,2021,1844.7169,2238.9573,6,3.280741538163201,FALSE
Senegal,SEN,Africa,2015,2021,3012.3833,3495.4036,6,2.509594675477489,FALSE
Sierra Leone,SLE,Africa,2015,2021,1513.562,1614.6981,6,1.0838682663293575,FALSE
Solomon Islands,SLB,Oceania,2015,2021,2534.7258,2406.1135,6,-0.8641227332337076,FALSE
Somalia,SOM,Africa,2015,2021,1029.6992,1136.736,6,1.6618963307273082,FALSE
Sudan,SDN,Africa,2015,2021,4718.919,3701.069,6,-3.9684121480133228,FALSE
Tanzania,TZA,Africa,2015,2021,2306.6382,2581.6997,6,1.895352025520558,FALSE
Togo,TGO,Africa,2015,2021,1881.9052,2124.8042,6,2.043856254460974,FALSE
Tuvalu,TUV,Oceania,2015,2021,3895.9304,4924.0273,6,3.980414354723627,FALSE
Uganda,UGA,Africa,2015,2021,2108.8604,2246.414,6,1.0586892093012557,FALSE
Zambia,ZMB,Africa,2015,2021,3365.3792,3236.789,6,-0.6472107965120433,FALSE
