Code,Entity,Continent,CAGR_no_COVID,Achieved_Target,CAGR_with_COVID,CAGR_Difference,Impact
AFG,Afghanistan,Asia,0.291380282952991,FALSE,-5.348351766995252,5.639732049948243,Improved without COVID
AGO,Angola,Africa,-1.6816009088807982,FALSE,-4.859889873659117,3.1782889647783192,Improved without COVID
BGD,Bangladesh,Asia,5.435430151744236,FALSE,5.294489950967551,0.14094020077668468,Minimal difference
BEN,Benin,Africa,2.0302199226813977,FALSE,2.585802482497601,-0.5555825598162034,Worse without COVID years
BFA,Burkina Faso,Africa,2.6885365424084595,FALSE,2.6532205603472914,0.03531598206116815,Minimal difference
BDI,Burundi,Africa,-1.0770911787759907,FALSE,-1.7032559825690186,0.6261648037930279,Improved without COVID
KHM,Cambodia,Asia,5.715983826236615,FALSE,3.3893741324794613,2.3266096937571534,Improved without COVID
CAF,Central African Republic,Africa,-2.974644909367108,FALSE,0.8710746042608353,-3.845719513627943,Worse without COVID years
TCD,Chad,Africa,-1.198600401521599,FALSE,-4.27951530391375,3.080914902392151,Improved without COVID
COM,Comoros,Africa,0.937738481949224,FALSE,0.4065728765207055,0.5311656054285185,Improved without COVID
COD,Democratic Republic of Congo,Africa,2.5920588581975768,FALSE,0.6522032727108718,1.939855585486705,Improved without COVID
DJI,Djibouti,Africa,4.486428567711753,FALSE,3.172694139438348,1.3137344282734054,Improved without COVID
TLS,East Timor,Asia,2.8272043763452936,FALSE,7.67757864163614,-4.850374265290847,Worse without COVID years
ETH,Ethiopia,Africa,6.512357748479092,FALSE,4.7976232301081945,1.7147345183708973,Improved without COVID
GMB,Gambia,Africa,-0.46314780959506585,FALSE,1.4403042524038678,-1.9034520619989337,Worse without COVID years
GIN,Guinea,Africa,3.5677012573490874,FALSE,4.2816749753394445,-0.7139737179903571,Worse without COVID years
GNB,Guinea-Bissau,Africa,1.2039100680096393,FALSE,0.77939738533781,0.4245126826718293,Minimal difference
HTI,Haiti,North America,0.6256859655096036,FALSE,-1.491984630260812,2.1176705957704156,Improved without COVID
KIR,Kiribati,Oceania,1.0049869428900626,FALSE,-0.8467461311276736,1.8517330740177362,Improved without COVID
LAO,Laos,Asia,5.619373595284238,FALSE,3.1909976422913378,2.4283759529929005,Improved without COVID
LSO,Lesotho,Africa,1.0041424312079217,FALSE,-2.2165571932804995,3.220699624488421,Improved without COVID
LBR,Liberia,Africa,0.2861885739801062,FALSE,-1.7374572421658407,2.023645816145947,Improved without COVID
MDG,Madagascar,Africa,0.5286980811782804,FALSE,-0.5006373321807089,1.0293354133589894,Improved without COVID
MWI,Malawi,Africa,1.2441146892080202,FALSE,0.5734540572157831,0.670660631992237,Improved without COVID
MLI,Mali,Africa,1.0574715545284885,FALSE,0.4837698924397893,0.5737016620886992,Improved without COVID
MRT,Mauritania,Africa,1.5975322479032883,FALSE,0.49722342305569267,1.1003088248475956,Improved without COVID
MOZ,Mozambique,Africa,2.297198315684801,FALSE,-0.6011567448599986,2.8983550605447994,Improved without COVID
MMR,Myanmar,Asia,6.117292459651225,FALSE,1.226069450933731,4.8912230087174935,Improved without COVID
NPL,Nepal,Asia,4.31029847779143,FALSE,2.7305390189321432,1.5797594588592867,Improved without COVID
NER,Niger,Africa,1.9330897328375007,FALSE,0.9009353661597608,1.03215436667774,Improved without COVID
RWA,Rwanda,Africa,4.5542157527981075,FALSE,3.280741538163201,1.2734742146349065,Improved without COVID
SEN,Senegal,Africa,2.160456856792514,FALSE,2.509594675477489,-0.34913781868497473,Minimal difference
SLE,Sierra Leone,Africa,1.868565200596306,FALSE,1.0838682663293575,0.7846969342669485,Improved without COVID
SLB,Solomon Islands,Oceania,0.9142116747838047,FALSE,-0.8641227332337076,1.7783344080175123,Improved without COVID
SOM,Somalia,Africa,4.202473413963537,FALSE,1.6618963307273082,2.5405770832362284,Improved without COVID
SDN,Sudan,Africa,-1.5229399520908404,FALSE,-3.9684121480133228,2.4454721959224823,Improved without COVID
TZA,Tanzania,Africa,3.014986364324268,FALSE,1.895352025520558,1.11963433880371,Improved without COVID
TGO,Togo,Africa,3.0442373990134497,FALSE,2.043856254460974,1.0003811445524757,Improved without COVID
TUV,Tuvalu,Oceania,4.170204747495587,FALSE,3.980414354723627,0.1897903927719602,Minimal difference
UGA,Uganda,Africa,2.0252597475743928,FALSE,1.0586892093012557,0.9665705382731371,Improved without COVID
ZMB,Zambia,Africa,1.0004619871436304,FALSE,-0.6472107965120433,1.6476727836556737,Improved without COVID
