continent,year,neet_pct_mean
Africa,1991,21.32
Africa,1994,25.14
Africa,1996,43.35
Africa,1999,32.43
Africa,2000,31.08
Africa,2001,26.880000000000003
Africa,2002,30.10333333333333
Africa,2003,28.356666666666666
Africa,2004,32.8775
Africa,2005,22.882857142857144
Africa,2006,22.21125
Africa,2007,21.453333333333333
Africa,2008,21.313333333333333
Africa,2009,23.982857142857142
Africa,2010,22.214
Africa,2011,21.368181818181817
Africa,2012,23.099090909090908
Africa,2013,20.581666666666667
Africa,2014,21.924705882352942
Africa,2015,25.29875
Africa,2016,26.324545454545454
Africa,2017,29.347894736842104
Africa,2018,30.992
Africa,2019,30.073333333333334
Africa,2020,26.14
Africa,2021,26.682727272727274
Africa,2022,34.96
Asia,1994,38.4
Asia,1996,17.07
Asia,1997,19.66
Asia,1998,25.045
Asia,1999,18.1
Asia,2000,25.73
Asia,2001,26.122
Asia,2002,30.415
Asia,2003,25.565714285714286
Asia,2004,28.646
Asia,2005,31.322857142857142
Asia,2006,28.567777777777778
Asia,2007,25.942857142857143
Asia,2008,24.555
Asia,2009,21.186842105263157
Asia,2010,18.17142857142857
Asia,2011,19.69
Asia,2012,19.85
Asia,2013,19.29695652173913
Asia,2014,20.1016
Asia,2015,18.135238095238094
Asia,2016,18.31695652173913
Asia,2017,21.3944
Asia,2018,19.99086956521739
Asia,2019,19.405555555555555
Asia,2020,21.92695652173913
Asia,2021,22.794347826086955
Asia,2022,20.613333333333333
Europe,1990,18.7
Europe,1991,14.52
Europe,1992,13.360000000000001
Europe,1993,14.625
Europe,1994,14.73
Europe,1995,14.3
Europe,1996,12.495000000000001
Europe,1997,12.41
Europe,1998,12.99
Europe,1999,14.666666666666668
Europe,2000,16.405
Europe,2001,19.148
Europe,2002,20.18
Europe,2003,12.436818181818182
Europe,2004,12.43
Europe,2005,13.691515151515151
Europe,2006,12.409411764705883
Europe,2007,12.172285714285715
Europe,2008,11.870833333333334
Europe,2009,13.502368421052632
Europe,2010,13.714054054054055
Europe,2011,13.808684210526316
Europe,2012,14.654615384615385
Europe,2013,14.673076923076923
Europe,2014,14.35575
Europe,2015,13.85625
Europe,2016,12.864878048780488
Europe,2017,12.1725
Europe,2018,11.544871794871794
Europe,2019,11.45076923076923
Europe,2020,11.79135135135135
Europe,2021,11.318055555555556
Europe,2022,16.705
North America,1990,15.17
North America,1991,16.9
North America,1992,17.38
North America,1993,17.27
North America,1994,15.995
North America,1995,15.54
North America,1996,15.309999999999999
North America,1997,18.226666666666667
North America,1998,13.975
North America,1999,13.350000000000001
North America,2000,15.38
North America,2001,19.08
North America,2002,16.98
North America,2003,19.33
North America,2004,19.346
North America,2005,19.485714285714288
North America,2006,19.35857142857143
North America,2007,18.341666666666665
North America,2008,20.0075
North America,2009,22.137777777777778
North America,2010,20.72833333333333
North America,2011,22.219
North America,2012,20.178461538461537
North America,2013,24.8175
North America,2014,22.8
North America,2015,21.815
North America,2016,23.126666666666665
North America,2017,23.0125
North America,2018,20.575
North America,2019,21.182307692307692
North America,2020,23.03181818181818
North America,2021,22.017
North America,2022,17.036666666666665
Oceania,2000,27.23
Oceania,2004,10.79
Oceania,2005,15.835
Oceania,2006,17.485
Oceania,2007,10.98
Oceania,2008,11.24
Oceania,2009,17.326666666666668
Oceania,2010,23.08
Oceania,2011,14.15
Oceania,2012,20.916666666666668
Oceania,2013,16.669999999999998
Oceania,2014,15.766666666666667
Oceania,2015,22.743333333333332
Oceania,2016,18.805
Oceania,2017,26.876
Oceania,2018,24.133333333333333
Oceania,2019,33.796
Oceania,2020,31.822
Oceania,2021,15.265
South America,1990,28.14
South America,1992,24.09
South America,1994,24.57
South America,1995,20.29
South America,1996,20.82
South America,1997,20.49
South America,1998,22.035
South America,1999,19.5925
South America,2000,20.5875
South America,2001,20.632
South America,2002,21.965
South America,2003,21.874285714285715
South America,2004,20.015
South America,2005,20.424444444444443
South America,2006,18.823333333333334
South America,2007,19.1075
South America,2008,18.397777777777776
South America,2009,18.546
South America,2010,18.66625
South America,2011,17.609
South America,2012,17.492
South America,2013,17.45777777777778
South America,2014,18.156666666666666
South America,2015,18.94125
South America,2016,18.615000000000002
South America,2017,18.828
South America,2018,21.153333333333332
South America,2019,21.36
South America,2020,24.225
South America,2021,18.76375
South America,2022,18.605
