continent,year,neet_pct_weighted
Africa,2015,26.813319737790827
Africa,2016,26.206106795506024
Africa,2017,28.267372493650676
Africa,2018,30.766054174863964
Africa,2019,31.647295398540138
Africa,2020,28.22176264575642
Asia,2015,21.996224621419582
Asia,2016,20.589858114241153
Asia,2017,21.717379017137095
Asia,2018,27.2402730361374
Asia,2019,26.92539995233996
Asia,2020,28.167348375867956
Europe,2015,13.003407108685806
Europe,2016,12.37220479159713
Europe,2017,11.65089509629852
Europe,2018,10.857647914232345
Europe,2019,10.641233426604852
Europe,2020,11.349974433747354
North America,2015,20.617125348905322
North America,2016,20.734593051504113
North America,2017,20.059054349879393
North America,2018,19.78818779039159
North America,2019,19.671737504781348
North America,2020,21.362258234661613
Oceania,2015,10.322402374100346
Oceania,2016,9.730225731547112
Oceania,2017,9.646189993704358
Oceania,2018,12.510343132211364
Oceania,2019,14.80770988795911
Oceania,2020,16.482222671932362
South America,2015,21.201291213418205
South America,2016,22.130559364291667
South America,2017,22.238371413085893
South America,2018,22.32692241660276
South America,2019,22.106106060872875
South America,2020,25.106702192054385
