continent,year,neet_pct_weighted
Africa,1991,21.32
Africa,1994,25.139999999999997
Africa,1996,43.35
Africa,1999,32.43
Africa,2000,31.375067413077357
Africa,2001,34.63324931454347
Africa,2002,34.11180137511969
Africa,2003,35.13734320079729
Africa,2004,34.25062381193812
Africa,2005,28.163564539710364
Africa,2006,26.798339792124292
Africa,2007,27.246444112352023
Africa,2008,27.333910800266324
Africa,2009,24.353752688217636
Africa,2010,25.577895406585696
Africa,2011,26.947828329440842
Africa,2012,23.43064893519223
Africa,2013,21.841349917373016
Africa,2014,24.2316719057145
Africa,2015,26.813319737790827
Africa,2016,26.206106795506024
Africa,2017,28.267372493650676
Africa,2018,30.766054174863964
Africa,2019,31.647295398540138
Africa,2020,28.22176264575642
Africa,2021,23.318128175166454
Africa,2022,33.1072327444109
Asia,1994,38.4
Asia,1996,26.260315484095848
Asia,1997,27.293809242622128
Asia,1998,28.60993800559919
Asia,1999,28.576743878450365
Asia,2000,31.035843747335655
Asia,2001,27.897419854344445
Asia,2002,30.027857478382824
Asia,2003,29.15235384089824
Asia,2004,26.83721152743094
Asia,2005,34.73052020783058
Asia,2006,31.179847399548613
Asia,2007,28.89714619788322
Asia,2008,28.041705749674176
Asia,2009,24.230230566905725
Asia,2010,27.181209461279295
Asia,2011,25.1370515323762
Asia,2012,24.783967168396355
Asia,2013,23.96635195457134
Asia,2014,23.378759694237395
Asia,2015,21.996224621419582
Asia,2016,20.589858114241153
Asia,2017,21.717379017137095
Asia,2018,27.2402730361374
Asia,2019,26.92539995233996
Asia,2020,28.167348375867956
Asia,2021,27.946144810114607
Asia,2022,22.34
Europe,1990,18.7
Europe,1991,15.87512210955145
Europe,1992,14.60585271278576
Europe,1993,15.951818782300238
Europe,1994,15.793330218234386
Europe,1995,15.499222881691484
Europe,1996,14.452015754229414
Europe,1997,14.223214748956005
Europe,1998,15.046608352527599
Europe,1999,18.85987513469691
Europe,2000,17.75590415517763
Europe,2001,20.78804027205927
Europe,2002,19.294601960132375
Europe,2003,12.06867141640785
Europe,2004,11.736442434450922
Europe,2005,12.922433707756621
Europe,2006,11.804232542648135
Europe,2007,11.553341447856603
Europe,2008,11.406781499707487
Europe,2009,13.042290598460966
Europe,2010,13.152724689959932
Europe,2011,13.282395884958836
Europe,2012,13.530029814583836
Europe,2013,13.596156412094604
Europe,2014,13.675298055012366
Europe,2015,13.003407108685806
Europe,2016,12.37220479159713
Europe,2017,11.65089509629852
Europe,2018,10.857647914232345
Europe,2019,10.641233426604852
Europe,2020,11.349974433747354
Europe,2021,11.111259852449239
Europe,2022,18.45
North America,1990,15.17
North America,1991,16.9
North America,1992,17.38
North America,1993,17.27
North America,1994,16.7
North America,1995,16.05
North America,1996,16.25
North America,1997,17.024645301734388
North America,1998,15.29
North America,1999,14.23
North America,2000,15.637470651869405
North America,2001,17.694595065451836
North America,2002,15.950808503846151
North America,2003,18.350762302032457
North America,2004,19.663124454181023
North America,2005,20.385252638843305
North America,2006,20.436791779644636
North America,2007,19.89216559581635
North America,2008,20.607449234289824
North America,2009,21.555390740733806
North America,2010,22.002385624054185
North America,2011,21.524377274368764
North America,2012,20.722100373871882
North America,2013,21.048475334444912
North America,2014,21.047074379056195
North America,2015,20.617125348905322
North America,2016,20.734593051504113
North America,2017,20.059054349879393
North America,2018,19.78818779039159
North America,2019,19.671737504781348
North America,2020,21.362258234661613
North America,2021,18.49582308492027
North America,2022,16.444664109014216
Oceania,2000,27.230000000000004
Oceania,2004,10.79
Oceania,2005,13.262149493565339
Oceania,2006,11.662679141810958
Oceania,2007,10.98
Oceania,2008,11.24
Oceania,2009,12.0653625034218
Oceania,2010,18.83859042369168
Oceania,2011,11.391137919540194
Oceania,2012,10.834956365339686
Oceania,2013,11.1150320447956
Oceania,2014,10.717522121142652
Oceania,2015,10.322402374100346
Oceania,2016,9.730225731547112
Oceania,2017,9.646189993704358
Oceania,2018,12.510343132211364
Oceania,2019,14.80770988795911
Oceania,2020,16.482222671932362
Oceania,2021,12.055280969500798
South America,1990,28.14
South America,1992,24.09
South America,1994,24.57
South America,1995,20.29
South America,1996,20.811458837644476
South America,1997,20.49
South America,1998,20.55186481559027
South America,1999,19.849442928160006
South America,2000,22.557416364182085
South America,2001,19.610522343404998
South America,2002,20.419355102802932
South America,2003,20.81864329047676
South America,2004,20.549617203728026
South America,2005,20.671375708720234
South America,2006,19.156495307825615
South America,2007,19.94728008477565
South America,2008,19.1511507916846
South America,2009,19.569865090224088
South America,2010,19.36121477398917
South America,2011,19.24810512926171
South America,2012,19.68806769355153
South America,2013,20.025054410062076
South America,2014,20.112649195941216
South America,2015,21.201291213418205
South America,2016,22.130559364291667
South America,2017,22.238371413085893
South America,2018,22.32692241660276
South America,2019,22.106106060872875
South America,2020,25.106702192054385
South America,2021,22.381001270909618
South America,2022,21.201142379366697
