Continent,CAGR_2015,CAGR_2023,Type,Change,Trend
Africa,1.7093956348328343,NA,Simple Average,NA,Stable
Asia,2.648520324739713,NA,Simple Average,NA,Stable
Europe,2.2792449205158123,NA,Simple Average,NA,Stable
North America,1.3304770070908423,NA,Simple Average,NA,Stable
Oceania,1.6826197913289591,NA,Simple Average,NA,Stable
South America,2.354270732798799,NA,Simple Average,NA,Stable
Africa,1.918017956718902,NA,Weighted Average,NA,Stable
Asia,5.493389769134183,NA,Weighted Average,NA,Stable
Europe,1.3929094376500388,NA,Weighted Average,NA,Stable
North America,1.2903571754944612,NA,Weighted Average,NA,Stable
Oceania,1.529748394937099,NA,Weighted Average,NA,Stable
South America,1.9253433730655964,NA,Weighted Average,NA,Stable
