Continent,Year,Total_Continent_Pop,Weighted_CAGR,N_Countries_With_Pop
Africa,2015,1045931.1089999999,1.918017956718902,48
Africa,2016,1071847.0700000003,1.8456937449425714,48
Africa,2017,1098380.6589999998,1.800512957224608,48
Africa,2018,1125499.5659999999,1.778513719229953,48
Africa,2019,1152374.812,1.7524100975449326,48
Africa,2020,1179287.2719999999,1.5718616227499114,48
Africa,2021,1206233.491,1.5782864033664048,48
Asia,2015,4086537.745,5.493389769134183,36
Asia,2016,4126217.251999999,5.490269297379177,36
Asia,2017,4164872.225,5.4669129802678516,36
Asia,2018,4200654.036,5.44483533426541,36
Asia,2019,4234306.064,5.376748181661301,36
Asia,2020,4258598.125999999,5.076344615212099,35
Asia,2021,4280179.066,5.089421974312154,34
Europe,2015,598242.898,1.3929094376500388,39
Europe,2016,599636.6109999999,1.4088766170311144,39
Europe,2017,600722.8740000001,1.4586017916453224,39
Europe,2018,601690.638,1.489659846621956,39
Europe,2019,602607.533,1.5081618801429442,39
Europe,2020,602860.105,1.2398032097345204,39
Europe,2021,602531.433,1.381964219558219,38
North America,2015,230168.68099999998,1.2903571754944612,21
North America,2016,232721.362,1.2912177211318134,21
North America,2017,235298.659,1.2998364621508238,21
North America,2018,237917.631,1.3017454601123881,21
North America,2019,240506.68199999997,1.2463284819031508,21
North America,2020,242812.151,0.9181018358817963,21
North America,2021,244798.35799999995,1.0523262695698814,21
Oceania,2015,39663.502,1.529748394937099,13
Oceania,2016,40395.99299999999,1.5337688012632231,13
Oceania,2017,41143.624,1.510224536275594,13
Oceania,2018,41867.463,1.4730720986896497,13
Oceania,2019,42559.472,1.4540411169805212,13
Oceania,2020,43133.651,1.3030930003236425,13
Oceania,2021,43610.116,1.2907045557122616,13
South America,2015,367761.461,1.9253433730655964,10
South America,2016,371174.512,1.7602665053453745,10
South America,2017,374855.728,1.7207867115452258,10
South America,2018,378839.91299999994,1.6784690282774002,10
South America,2019,382649.684,1.6198120060804528,10
South America,2020,385660.58,1.3307274959211448,10
South America,2021,387859.67299999995,1.4884331065332306,10
