Entity,Code,Year,GDP_per_capita,Annual_Growth_Rate,Period
East Timor,TLS,2010,2908.328,7.0246903653498505,Pre-SDG (2010-2014)
East Timor,TLS,2011,3013.743,3.6245911740353893,Pre-SDG (2010-2014)
East Timor,TLS,2012,3091.5583,2.582015122059187,Pre-SDG (2010-2014)
East Timor,TLS,2013,3121.958,0.9833131725188536,Pre-SDG (2010-2014)
East Timor,TLS,2014,3197.5,2.419699432215293,Pre-SDG (2010-2014)
East Timor,TLS,2015,3228.675,0.9749804534792863,Pre-COVID (2015-2019)
East Timor,TLS,2016,3286.7947,1.8001099522249757,Pre-COVID (2015-2019)
East Timor,TLS,2017,3138.4387,-4.513698406535698,Pre-COVID (2015-2019)
East Timor,TLS,2018,3070.8086,-2.1548963183509144,Pre-COVID (2015-2019)
East Timor,TLS,2019,3737.7964,21.720266121437863,Pre-COVID (2015-2019)
East Timor,TLS,2020,4856.518,29.929976924371797,COVID Years
East Timor,TLS,2021,5032.41,3.621771812644364,COVID Years
